what is there in funcations,AlgebraFunctions
What are principles of algebra,AlgebraFunctions
what are principles of functions,AlgebraFunctions
what am i learning in second grade algebra,AlgebraFunctions
class timings,ClassSchedule
when is my math class scheduled?,ClassSchedule
math class,ClassSchedule
schedule,ClassSchedule
How do you know this?,DataSource
Where did you learn this?,DataSource
Is this true?,DataSource
Are you sure?,DataSource
Where do you get your information?,DataSource
Is this information accurate?,DataSource
leave,goodbyes
laters,goodbyes
no problem,goodbyes
i'm leaving,goodbyes
g'day,goodbyes
good night,goodbyes
adieu,goodbyes
adios,goodbyes
au revoir,goodbyes
bye,goodbyes
bye bye,goodbyes
bye now,goodbyes
catch ya later,goodbyes
cya,goodbyes
farewell,goodbyes
go,goodbyes
goodbye,goodbyes
good bye,goodbyes
good day,goodbyes
gday,goodbyes
gotta run,goodbyes
gtg,goodbyes
have a good one,goodbyes
im leaving,goodbyes
later,goodbyes
see you,goodbyes
see you later,goodbyes
should be going,goodbyes
should go,goodbyes
signing off,goodbyes
signing out,goodbyes
so long,goodbyes
soon,goodbyes
take care,goodbyes
take it easy,goodbyes
sorry got to go,goodbyes
thank you for the info,goodbyes
no thank you,goodbyes
youre welcome now bye,goodbyes
shut up,goodbyes
thanks for your help,goodbyes
be quiet robot,goodbyes
done,goodbyes
dont need your help at all,goodbyes
good bye hohoho,goodbyes
goodbye joto,goodbyes
got to go bye nice time talking to you,goodbyes
gtg go right now ok,goodbyes
stop,goodbyes
ok thank you,goodbyes
ok thank you for your time,goodbyes
ok thanks,goodbyes
o thank u,goodbyes
i am done with you,goodbyes
bye im going to play a game,goodbyes
thx,goodbyes
ty,goodbyes
ttyl,goodbyes
thanks,goodbyes
toodles,goodbyes
then bye,goodbyes
thank you,goodbyes
thanks watson,goodbyes
talk to you later,goodbyes
talk to you soon,goodbyes
see ya later,goodbyes
gotta go,goodbyes
see ya soon,goodbyes
see ya,goodbyes
run,goodbyes
over and out,goodbyes
out of time,goodbyes
ok bye,goodbyes
my time is up,goodbyes
logging off,goodbyes
Olla,greeting
yello,greeting
yo,greeting
buenos dias,greeting
hello watson,greeting
hi,greeting
hey,greeting
hola,greeting
hi there,greeting
howdy,greeting
hello,greeting
aloha,greeting
bonjour,greeting
namaste,greeting
good evening,greeting
Good afternoon,greeting
Good morning,greeting
feeling a bit low,greeting
heya,greeting
hiya,greeting
ciao,greeting
hey there,greeting
surprise test,MathTesting
is there any surprise test,MathTesting
when is our next test,MathTesting
math test,MathTesting
what are principles of measurement,MeasurementGeometry
what are principles of geometry,MeasurementGeometry
Can i learn geometry,MeasurementGeometry
how do i learn measurement,MeasurementGeometry
school news,News_Corona_Virus
whats happening,News_Corona_Virus
NEWS,News_Corona_Virus
Whats happening?,News_Corona_Virus
What is in the NEWS?,News_Corona_Virus
what is there is 2nd grade math,NumberSense
what are operation on numbers,NumberSense
what is place value,NumberSense
what is subtraction,NumberSense
what can i learn from second grade math,NumberSense
what are advance topics in second grade math,StatisticsDataAnalysisProbability
is there any advance topic in second grade math?,StatisticsDataAnalysisProbability
math tip,Substractions
math tricks,Substractions
math tips,Substractions
tips and tricks for subtraction,Substractions
can i subtract a large number from small number?,Substractions
